org	Gene	PILength	Isoforms	exonsCount	geneName
9606	2	1324	5	43	A2M alpha-2-macroglobulin
9606	387755	532	11	24	INSC INSC spindle orientation adaptor protein
9606	131076	134	8	13	MIX23 mitochondrial matrix import factor 23
9606	9	352	15	16	NAT1 N-acetyltransferase 1
9606	13	382	2	6	AADAC arylacetamide deacetylase
9606	14	434	2	12	AAMP angio associated migratory cell protein
9606	15	207	2	9	AANAT aralkylamine N-acetyltransferase
9606	16	734	2	23	AARS1 alanyl-tRNA synthetase 1
9606	18	500	24	33	ABAT 4-aminobutyrate aminotransferase
9606	20	2465	4	51	ABCA2 ATP binding cassette subfamily A member 2
9606	22	726	5	17	ABCB7 ATP binding cassette subfamily B member 7
9606	23	807	2	25	ABCF1 ATP binding cassette subfamily F member 1
9606	24	2199	2	50	ABCA4 ATP binding cassette subfamily A member 4
9606	25	1130	2	12	ABL1 ABL proto-oncogene 1, non-receptor tyrosine kinase
9606	26	751	6	8	AOC1 amine oxidase copper containing 1
9606	100499483	859	2	42	CCDC180 coiled-coil domain containing 180
9606	30	331	5	17	ACAA1 acetyl-CoA acyltransferase 1
9606	31	2353	26	82	ACACA acetyl-CoA carboxylase alpha
9606	32	2249	13	68	ACACB acetyl-CoA carboxylase beta
9606	33	409	3	16	ACADL acyl-CoA dehydrogenase long chain
9606	34	425	5	19	ACADM acyl-CoA dehydrogenase medium chain
9606	35	408	2	11	ACADS acyl-CoA dehydrogenase short chain
9606	36	330	2	14	ACADSB acyl-CoA dehydrogenase short/branched chain
9606	37	579	9	31	ACADVL acyl-CoA dehydrogenase very long chain
9606	38	337	13	25	ACAT1 acetyl-CoA acetyltransferase 1
9606	39	397	2	11	ACAT2 acetyl-CoA acetyltransferase 2
9606	40	512	2	11	ASIC2 acid sensing ion channel subunit 2
9606	41	562	6	17	ASIC1 acid sensing ion channel subunit 1
9606	43	680	8	13	ACHE acetylcholinesterase (Cartwright blood group)
9606	131118	91	2	9	DNAJC19 DnaJ heat shock protein family (Hsp40) member C19
9606	47	1101	5	34	ACLY ATP citrate lyase
9606	48	889	4	25	ACO1 aconitase 1
9606	51	524	5	21	ACOX1 acyl-CoA oxidase 1
9606	52	158	3	8	ACP1 acid phosphatase 1
9606	53	391	6	18	ACP2 acid phosphatase 2, lysosomal
9606	55	385	5	13	ACP3 acid phosphatase 3
9606	56	195	4	8	ACRV1 acrosomal vesicle protein 1
9606	27316	196	2	14	RBMX RNA binding motif protein X-linked
9606	72	333	2	9	ACTG2 actin gamma 2, smooth muscle
9606	22916	103	4	9	NCBP2 nuclear cap binding protein subunit 2
9606	81	906	5	24	ACTN4 actinin alpha 4
9606	86	387	3	18	ACTL6A actin like 6A
9606	87	887	22	30	ACTN1 actinin alpha 1
9606	88	686	3	32	ACTN2 actinin alpha 2
9606	89	901	2	22	ACTN3 actinin alpha 3
9606	91	453	9	19	ACVR1B activin A receptor type 1B
9606	92	513	4	16	ACVR2A activin A receptor type 2A
9606	94	503	6	15	ACVRL1 activin A receptor like type 1
9606	95	408	5	18	ACY1 aminoacylase 1
9606	97	99	3	6	ACYP1 acylphosphatase 1
9606	98	141	6	15	ACYP2 acylphosphatase 2
9606	100	228	3	16	ADA adenosine deaminase
9606	101	733	7	35	ADAM8 ADAM metallopeptidase domain 8
9606	102	717	2	16	ADAM10 ADAM metallopeptidase domain 10
9606	103	931	16	29	ADAR adenosine deaminase RNA specific
9606	104	741	18	31	ADARB1 adenosine deaminase RNA specific B1
9606	107	338	4	25	ADCY1 adenylate cyclase 1
9606	108	1045	5	30	ADCY2 adenylate cyclase 2
9606	109	924	30	37	ADCY3 adenylate cyclase 3
9606	111	928	18	40	ADCY5 adenylate cyclase 5
9606	112	1168	8	27	ADCY6 adenylate cyclase 6
9606	113	1080	33	40	ADCY7 adenylate cyclase 7
9606	114	1155	5	19	ADCY8 adenylate cyclase 8
9606	116	315	4	9	ADCYAP1 adenylate cyclase activating polypeptide 1
9606	117	496	10	20	ADCYAP1R1 ADCYAP receptor type I
9606	118	631	24	24	ADD1 adducin 1
9606	119	643	6	24	ADD2 adducin 2
9606	120	706	31	32	ADD3 adducin 3
9606	123	445	2	10	PLIN2 perilipin 2
9606	125	335	2	12	ADH1B alcohol dehydrogenase 1B (class I), beta polypeptide
9606	127	380	3	12	ADH4 alcohol dehydrogenase 4 (class II), pi polypeptide
9606	130	368	2	10	ADH6 alcohol dehydrogenase 6 (class V)
9606	131	374	2	10	ADH7 alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
9606	132	294	15	20	ADK adenosine kinase
9606	134	326	5	10	ADORA1 adenosine A1 receptor
9606	196743	486	3	10	PAOX polyamine oxidase
9606	140	173	3	6	ADORA3 adenosine A3 receptor
9606	141	357	6	9	ADPRH ADP-ribosylarginine hydrolase
9606	131096	1108	6	22	KCNH8 potassium voltage-gated channel subfamily H member 8
9606	147	556	8	11	ADRA1B adrenoceptor alpha 1B
9606	148	475	12	15	ADRA1A adrenoceptor alpha 1A
9606	156	659	2	22	GRK2 G protein-coupled receptor kinase 2
9606	157	575	5	29	GRK3 G protein-coupled receptor kinase 3
9606	158	526	9	19	ADSL adenylosuccinate lyase
9606	159	396	5	21	ADSS2 adenylosuccinate synthase 2
9606	160	955	4	26	AP2A1 adaptor related protein complex 2 subunit alpha 1
9606	161	864	10	34	AP2A2 adaptor related protein complex 2 subunit alpha 2
9606	162	885	8	28	AP1B1 adaptor related protein complex 1 subunit beta 1
9606	163	983	16	28	AP2B1 adaptor related protein complex 2 subunit beta 1
9606	164	822	2	24	AP1G1 adaptor related protein complex 1 subunit gamma 1
9606	165	1132	2	21	AEBP1 AE binding protein 1
9606	166	263	4	9	TLE5 TLE family member 5, transcriptional modulator
9606	167	178	6	16	CRISP1 cysteine rich secretory protein 1
9606	173	494	4	21	AFM afamin
9606	174	451	2	20	AFP alpha fetoprotein
9606	175	336	3	12	AGA aspartylglucosaminidase
9606	176	2530	9	23	ACAN aggrecan
9606	177	325	12	25	AGER advanced glycosylation end-product specific receptor
9606	178	1532	7	43	AGL amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
9606	7644	118	3	5	ZNF91 zinc finger protein 91
9606	191	432	9	20	AHCY adenosylhomocysteinase
9606	645073	75	2	7	GAGE12G G antigen 12G
9606	387787	118	3	5	LIPT2 lipoyl(octanoyl) transferase 2
9606	197	367	4	9	AHSG alpha 2-HS glycoprotein
9606	202	2157	3	24	CRYBG1 crystallin beta-gamma domain containing 1
9606	203	194	3	10	AK1 adenylate kinase 1
9606	204	190	8	17	AK2 adenylate kinase 2
9606	205	171	6	11	AK4 adenylate kinase 4
9606	208	481	16	33	AKT2 AKT serine/threonine kinase 2
9606	210	267	8	23	ALAD aminolevulinate dehydratase
9606	211	602	7	17	ALAS1 5'-aminolevulinate synthase 1
9606	212	550	3	13	ALAS2 5'-aminolevulinate synthase 2
9606	214	570	4	19	ALCAM activated leukocyte cell adhesion molecule
9606	215	845	3	15	ABCD1 ATP binding cassette subfamily D member 1
9606	217	470	2	13	ALDH2 aldehyde dehydrogenase 2 family member
9606	218	453	6	17	ALDH3A1 aldehyde dehydrogenase 3 family member A1
9606	220	405	2	13	ALDH1A3 aldehyde dehydrogenase 1 family member A3
9606	221	468	5	17	ALDH3B1 aldehyde dehydrogenase 3 family member B1
9606	222	323	10	17	ALDH3B2 aldehyde dehydrogenase 3 family member B2
9606	223	424	2	13	ALDH9A1 aldehyde dehydrogenase 9 family member A1
9606	224	292	10	21	ALDH3A2 aldehyde dehydrogenase 3 family member A2
9606	225	674	4	14	ABCD2 ATP binding cassette subfamily D member 2
9606	226	364	4	14	ALDOA aldolase, fructose-bisphosphate A
9606	231	172	2	16	AKR1B1 aldo-keto reductase family 1 member B
9606	238	552	2	30	ALK ALK receptor tyrosine kinase
9606	239	594	2	15	ALOX12 arachidonate 12-lipoxygenase, 12S type
9606	240	529	8	20	ALOX5 arachidonate 5-lipoxygenase
9606	241	161	3	9	ALOX5AP arachidonate 5-lipoxygenase activating protein
9606	247	647	3	15	ALOX15B arachidonate 15-lipoxygenase type B
9606	249	524	7	19	ALPL alkaline phosphatase, biomineralization associated
9606	10965	286	3	7	ACOT2 acyl-CoA thioesterase 2
9606	262	265	7	17	AMD1 adenosylmethionine decarboxylase 1
9606	265	191	4	9	AMELX amelogenin X-linked
9606	266	192	2	9	AMELY amelogenin Y-linked
9606	267	643	4	19	AMFR autocrine motility factor receptor
9606	269	411	17	27	AMHR2 anti-Mullerian hormone receptor type 2
9606	270	743	2	17	AMPD1 adenosine monophosphate deaminase 1
9606	271	825	5	25	AMPD2 adenosine monophosphate deaminase 2
9606	272	608	5	22	AMPD3 adenosine monophosphate deaminase 3
9606	273	819	8	25	AMPH amphiphysin
9606	274	566	16	24	BIN1 bridging integrator 1
9606	275	347	4	11	AMT aminomethyltransferase
9606	164118	663	9	20	TTC24 tetratricopeptide repeat domain 24
9606	284	497	4	14	ANGPT1 angiopoietin 1
9606	285	443	6	11	ANGPT2 angiopoietin 2
9606	286	1719	8	49	ANK1 ankyrin 1
9606	131368	415	4	17	ZPLD1 zona pellucida like domain containing 1
9606	301	357	2	15	ANXA1 annexin A1
9606	302	339	12	25	ANXA2 annexin A2
9606	131375	146	3	8	LYZL4 lysozyme like 4
9606	306	264	2	14	ANXA3 annexin A3
9606	307	321	11	27	ANXA4 annexin A4
9606	308	148	2	14	ANXA5 annexin A5
9606	309	667	3	28	ANXA6 annexin A6
9606	310	426	5	16	ANXA7 annexin A7
9606	311	505	11	27	ANXA11 annexin A11
9606	312	316	2	12	ANXA13 annexin A13
9606	313	543	16	38	AOAH acyloxyacyl hydrolase
9606	314	729	2	5	AOC2 amine oxidase copper containing 2
9606	316	1316	4	36	AOX1 aldehyde oxidase 1
9606	317	1205	9	35	APAF1 apoptotic peptidase activating factor 1
9606	320	837	5	16	APBA1 amyloid beta precursor protein binding family A member 1
9606	321	749	39	29	APBA2 amyloid beta precursor protein binding family A member 2
9606	322	451	8	23	APBB1 amyloid beta precursor protein binding family B member 1
9606	323	737	55	29	APBB2 amyloid beta precursor protein binding family B member 2
9606	324	2843	15	32	APC APC regulator of WNT signaling pathway
9606	327	686	6	30	APEH acylaminoacyl-peptide hydrolase
9606	329	618	3	11	BIRC2 baculoviral IAP repeat containing 2
9606	332	142	3	7	BIRC5 baculoviral IAP repeat containing 5
9606	333	650	4	18	APLP1 amyloid beta precursor like protein 1
9606	334	756	30	32	APLP2 amyloid beta precursor like protein 2
9606	335	158	5	11	APOA1 apolipoprotein A1
9606	131408	294	7	13	FAM131A family with sequence similarity 131 member A
9606	339	236	3	9	APOBEC1 apolipoprotein B mRNA editing enzyme catalytic subunit 1
