org	Gene	PILength	Isoforms	exonsCount	geneName
10090	102631705	438	13	23	Gm29975 predicted gene, 29975
10090	268297	259	11	24	Scml4 Scm polycomb group protein like 4
10090	399566	378	6	14	Btbd6 BTB (POZ) domain containing 6
10090	268564	636	4	9	Zbtb1 zinc finger and BTB domain containing 1
10090	664883	385	36	40	Nova1 NOVA alternative splicing regulator 1
10090	140795	338	8	10	P2ry14 purinergic receptor P2Y, G-protein coupled, 14
10090	665270	1478	6	72	Plb1 phospholipase B1
10090	666329	520	14	32	Gm3317 predicted gene 3317
10090	11603	2045	15	58	Agrn agrin
10090	11733	1932	26	59	Ank1 ankyrin 1, erythroid
10090	12050	193	4	15	Bcl2l2 BCL2-like 2
10090	12293	299	12	63	Cacna2d1 calcium channel, voltage-dependent, alpha2/delta subunit 1
10090	12444	336	8	18	Ccnd2 cyclin D2
10090	12523	257	5	19	Cd84 CD84 antigen
10090	12695	1810	13	74	Patj PATJ, crumbs cell polarity complex component
10090	12916	304	63	56	Crem cAMP responsive element modulator
10090	13052	365	7	15	Cxadr coxsackie virus and adenovirus receptor
10090	668525	136	11	23	Gm9222 predicted gene 9222
10090	13175	724	21	40	Dclk1 doublecortin-like kinase 1
10090	668553	60	3	9	Gm9237 predicted pseudogene 9237
10090	13831	763	3	16	Epc1 enhancer of polycomb homolog 1
10090	13852	259	5	17	Stx2 syntaxin 2
10090	13990	836	12	43	Smarcad1 SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1
10090	14013	1130	21	36	Mecom MDS1 and EVI1 complex locus
10090	14158	823	13	39	Fer fer (fms/fps related) protein kinase
10090	14479	952	8	37	Usp15 ubiquitin specific peptidase 15
10090	14660	336	7	30	Gls glutaminase
10090	14724	214	2	3	Gp1bb glycoprotein Ib, beta polypeptide
10090	14765	591	3	6	Gpr50 G-protein-coupled receptor 50
10090	14772	364	15	46	Grk4 G protein-coupled receptor kinase 4
10090	15478	267	3	7	Hs3st3a1 heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1
10090	15901	168	3	5	Id1 inhibitor of DNA binding 1, HLH protein
10090	15976	239	7	22	Ifnar2 interferon (alpha and beta) receptor 2
10090	16866	293	5	19	Lhb luteinizing hormone beta
10090	17364	542	4	35	Trpm1 transient receptor potential cation channel, subfamily M, member 1
10090	17758	829	50	36	Map4 microtubule-associated protein 4
10090	17929	856	5	43	Myom1 myomesin 1
10090	18087	1556	17	57	Nktr natural killer tumor recognition sequence
10090	18390	370	15	24	Oprm1 opioid receptor, mu 1
10090	18578	736	11	32	Pde4b phosphodiesterase 4B, cAMP specific
10090	18760	910	8	31	Prkd1 protein kinase D1
10090	19076	290	5	22	Prim2 DNA primase, p58 subunit
10090	19395	571	26	42	Rasgrp2 RAS, guanyl releasing protein 2
10090	19417	1260	5	33	Rasgrf1 RAS protein-specific guanine nucleotide-releasing factor 1
10090	19882	1406	7	27	Mst1r macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
10090	19883	522	13	32	Rora RAR-related orphan receptor alpha
10090	20018	126	9	15	Polr1d polymerase (RNA) I polypeptide D
10090	20301	164	13	21	Ccl27a chemokine (C-C motif) ligand 27A
10090	20354	665	19	35	Sema4d sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D
10090	20500	316	5	21	Slc13a2 solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2
10090	20515	681	5	25	Slc20a1 solute carrier family 20, member 1
10090	544817	670	7	24	Arhgap27 Rho GTPase activating protein 27
10090	414758	124	6	13	Zfp950 zinc finger protein 950
10090	21647	125	6	13	Dynlt2a1 dynein light chain Tctex-type 2A1
10090	546024	120	3	8	Crxos cone-rod homeobox, opposite strand
10090	21807	1077	13	23	Tsc22d1 TSC22 domain family, member 1
10090	22184	399	7	25	Zrsr2 zinc finger (CCCH type), RNA binding motif and serine/arginine rich 2
10090	22363	171	3	7	Vpreb2 pre-B lymphocyte gene 2
10090	546672	216	2	3	Gm5965 predicted gene 5965
10090	677884	378	8	19	Pakap paralemmin A kinase anchor protein
10090	22722	426	3	11	Zfp64 zinc finger protein 64
10090	24001	1715	13	45	Tiam2 T cell lymphoma invasion and metastasis 2
10090	26422	2927	22	78	Nbea neurobeachin
10090	26563	161	3	13	Ror1 receptor tyrosine kinase-like orphan receptor 1
10090	26877	326	11	21	B3galt1 UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1
10090	27052	615	8	32	Aoah acyloxyacyl hydrolase
10090	27411	397	6	33	Slc14a2 solute carrier family 14 (urea transporter), member 2
10090	28240	1506	14	81	Trpm2 transient receptor potential cation channel, subfamily M, member 2
10090	223267	149	5	9	Ggact gamma-glutamylamine cyclotransferase
10090	100038847	174	10	24	Gm10406 predicted gene 10406
10090	30928	531	18	20	Zbtb18 zinc finger and BTB domain containing 18
10090	100039441	156	10	23	Gm2237 predicted gene 2237
10090	100039707	126	8	17	Mthfsl 5, 10-methenyltetrahydrofolate synthetase-like
10090	100040671	230	4	17	Gm2897 predicted gene 2897
10090	108167560	323	3	7	Gm46058 predicted gene, 46058
10090	100041734	575	7	22	4930522L14Rik RIKEN cDNA 4930522L14 gene
10090	100041735	227	5	18	Gm3488 predicted gene, 3488
10090	100043915	517	12	26	Gm4724 predicted gene 4724
10090	93757	114	5	13	Immp2l IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)
10090	432442	314	16	29	Akap7 A kinase (PRKA) anchor protein 7
10090	170719	852	16	38	Oxr1 oxidation resistance 1
10090	50518	819	14	25	a nonagouti
10090	50768	1126	9	35	Dlc1 deleted in liver cancer 1
10090	50780	1143	18	48	Rgs3 regulator of G-protein signaling 3
10090	53376	336	12	28	Usp2 ubiquitin specific peptidase 2
10090	53404	149	2	3	Atoh7 atonal bHLH transcription factor 7
10090	54151	399	7	16	Cyhr1 cysteine and histidine rich 1
10090	54383	527	9	28	Phc2 polyhomeotic 2
10090	56422	522	8	33	Hbs1l Hbs1-like (S. cerevisiae)
10090	56508	993	8	40	Rapgef4 Rap guanine nucleotide exchange factor (GEF) 4
10090	56695	398	4	15	Pnkd paroxysmal nonkinesiogenic dyskinesia
10090	56706	389	7	29	Ccnl1 cyclin L1
10090	56844	386	6	11	Tssc4 tumor-suppressing subchromosomal transferable fragment 4
10090	319478	366	8	11	Cxxc4 CXXC finger 4
10090	319636	508	8	26	Fsd1l fibronectin type III and SPRY domain containing 1-like
10090	57738	436	3	27	Slc15a2 solute carrier family 15 (H+/peptide transporter), member 2
10090	320277	1462	5	47	Spef2 sperm flagellar 2
10090	320333	146	9	17	D830030K20Rik RIKEN cDNA D830030K20 gene
10090	58217	172	6	12	Trem1 triggering receptor expressed on myeloid cells 1
10090	320404	643	5	14	Itpkb inositol 1,4,5-trisphosphate 3-kinase B
10090	58802	163	3	8	Kcnmb4 potassium large conductance calcium-activated channel, subfamily M, beta member 4
10090	338349	1397	11	43	Cntln centlein, centrosomal protein
10090	338367	1010	6	28	Myo1d myosin ID
10090	327942	82	3	10	Pigl phosphatidylinositol glycan anchor biosynthesis, class L
10090	328059	460	7	23	Slc7a15 solute carrier family 7 (cationic amino acid transporter, y+ system), member 15
10090	65964	454	6	28	Map3k20 mitogen-activated protein kinase kinase kinase 20
10090	66146	487	6	22	Maco1 macoilin 1
10090	66253	180	10	22	Aig1 androgen-induced 1
10090	66722	348	4	22	Spag16 sperm associated antigen 16
10090	66812	71	30	34	Ppcdc phosphopantothenoylcysteine decarboxylase
10090	67040	650	6	24	Ddx17 DEAD box helicase 17
10090	329251	186	9	38	Ppp1r12b protein phosphatase 1, regulatory subunit 12B
10090	67118	325	4	11	Bfar bifunctional apoptosis regulator
10090	329324	428	13	31	Syt14 synaptotagmin XIV
10090	329421	1305	13	48	Myo3b myosin IIIB
10090	67582	259	8	19	Slc25a26 solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 26
10090	67867	298	6	14	Lrrc28 leucine rich repeat containing 28
10090	68515	307	3	5	Myadml2 myeloid-associated differentiation marker-like 2
10090	68916	293	10	36	Cdkal1 CDK5 regulatory subunit associated protein 1-like 1
10090	69368	410	8	23	Wdfy1 WD repeat and FYVE domain containing 1
10090	69641	584	13	22	Wdr20 WD repeat domain 20
10090	70060	268	13	20	Spata3 spermatogenesis associated 3
10090	70122	370	10	28	Mllt3 myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3
10090	70373	487	8	20	Gpatch2l G patch domain containing 2 like
10090	70375	365	22	37	Ica1l islet cell autoantigen 1-like
10090	70802	182	11	18	Pwwp2a PWWP domain containing 2A
10090	70846	1857	13	49	Ttc6 tetratricopeptide repeat domain 6
10090	71099	166	7	14	Tssk4 testis-specific serine kinase 4
10090	333329	866	4	39	Cngb1 cyclic nucleotide gated channel beta 1
10090	71474	951	38	56	Ppp6r2 protein phosphatase 6, regulatory subunit 2
10090	71567	779	5	19	Mcm9 minichromosome maintenance 9 homologous recombination repair factor
10090	71685	281	3	19	Galnt14 polypeptide N-acetylgalactosaminyltransferase 14
10090	72068	531	40	54	Cnot2 CCR4-NOT transcription complex, subunit 2
10090	72125	672	3	4	Amer2 APC membrane recruitment 2
10090	72167	532	9	22	Thumpd2 THUMP domain containing 2
10090	72482	139	4	12	Acbd6 acyl-Coenzyme A binding domain containing 6
10090	72486	365	3	11	Obi1 ORC ubiquitin ligase 1
10090	72739	386	9	14	Zkscan3 zinc finger with KRAB and SCAN domains 3
10090	12125	196	9	14	Bcl2l11 BCL2-like 11 (apoptosis facilitator)
